"SubjID","emotion","rating","condition"
4,"SAD ",0.404468413,"Unpleasant-Pleasant"
4,"DISAPPOINTED ",0.404468413,"Unpleasant-Pleasant"
4,"CALM ",99.78813559,"Unpleasant-Pleasant"
4,"UPSET ",0.982280431,"Unpleasant-Pleasant"
4,"THANKFUL ",99.59553159,"Unpleasant-Pleasant"
4,"JEALOUS ",99.59553159,"Unpleasant-Pleasant"
4,"HAPPY ",99.40292758,"Unpleasant-Pleasant"
4,"EMBARRASSED ",0.789676425,"Unpleasant-Pleasant"
4,"NERVOUS ",0.404468413,"Unpleasant-Pleasant"
4,"LONELY ",0.404468413,"Unpleasant-Pleasant"
4,"ANGRY ",0.404468413,"Unpleasant-Pleasant"
4,"AMAZED ",99.40292758,"Unpleasant-Pleasant"
4,"EXCITED ",98.82511556,"Unpleasant-Pleasant"
4,"PROUD ",98.82511556,"Unpleasant-Pleasant"
5,"NERVOUS ",26.62250066,"Displeasing-Pleasing"
5,"THANKFUL ",93.81082826,"Displeasing-Pleasing"
5,"UPSET ",6.312276549,"Displeasing-Pleasing"
5,"SCARED ",32.1285959,"Displeasing-Pleasing"
5,"HAPPY ",81.74345372,"Displeasing-Pleasing"
5,"PROUD ",99.43899381,"Displeasing-Pleasing"
5,"SAFE ",67.30139781,"Displeasing-Pleasing"
5,"LOVE ",99.36554472,"Displeasing-Pleasing"
5,"SORRY ",15.21202993,"Displeasing-Pleasing"
5,"BORED ",13.96029198,"Displeasing-Pleasing"
5,"AMAZED ",99.49485649,"Displeasing-Pleasing"
5,"ANGRY ",18.89120845,"Displeasing-Pleasing"
5,"WORRIED ",4.679327496,"Displeasing-Pleasing"
5,"JEALOUS ",0.487557104,"Displeasing-Pleasing"
5,"EXCITED ",95.64808991,"Displeasing-Pleasing"
5,"PLEASED ",99.29468187,"Displeasing-Pleasing"
5,"SAD ",0.431177172,"Displeasing-Pleasing"
5,"DISAPPOINTED ",0.359279827,"Displeasing-Pleasing"
5,"RELAXED ",99.02002367,"Displeasing-Pleasing"
5,"LONELY ",0.937044823,"Displeasing-Pleasing"
5,"GRUMPY ",20.2867411,"Displeasing-Pleasing"
5,"CALM ",79.1023901,"Displeasing-Pleasing"
5,"SURPRISED ",47.66825013,"Displeasing-Pleasing"
5,"DISGUSTED ",30.12684968,"Displeasing-Pleasing"
5,"HATE ",0.622558594,"Displeasing-Pleasing"
5,"EMBARRASSED ",0.50772974,"Displeasing-Pleasing"
5,"ANNOYED ",36.56916214,"Displeasing-Pleasing"
6,"SAD ",3.452288596,"Negative-Positive"
6,"UPSET ",2.967416602,"Negative-Positive"
6,"PROUD ",84.13498836,"Negative-Positive"
6,"HAPPY ",100,"Negative-Positive"
6,"CALM ",56.98215671,"Negative-Positive"
6,"LOVE ",99.65089216,"Negative-Positive"
6,"NERVOUS ",28.56865787,"Negative-Positive"
6,"ANNOYED ",34.678045,"Negative-Positive"
6,"JEALOUS ",18.6772692,"Negative-Positive"
6,"BORED ",41.75717611,"Negative-Positive"
6,"SURPRISED ",44.86035687,"Negative-Positive"
6,"GRUMPY ",34.87199379,"Negative-Positive"
6,"EMBARRASSED ",20.32583398,"Negative-Positive"
6,"EXCITED ",78.60744763,"Negative-Positive"
6,"HATE ",0,"Negative-Positive"
6,"RELAXED ",100,"Negative-Positive"
6,"SCARED ",5.876648565,"Negative-Positive"
6,"THANKFUL ",76.95888285,"Negative-Positive"
6,"ANGRY ",0,"Negative-Positive"
6,"WORRIED ",34.3871218,"Negative-Positive"
6,"LONELY ",25.65942591,"Negative-Positive"
6,"AMAZED ",80.64391001,"Negative-Positive"
6,"SORRY ",23.71993794,"Negative-Positive"
6,"DISGUSTED ",35.93871218,"Negative-Positive"
6,"DISAPPOINTED ",21.97439876,"Negative-Positive"
6,"PLEASED ",76.28006206,"Negative-Positive"
6,"SAFE ",71.14041893,"Negative-Positive"
7,"SAFE ",88.63936592,"Unpleasant-Pleasant"
7,"PLEASED ",95.73976222,"Unpleasant-Pleasant"
7,"ANGRY ",21.92866579,"Unpleasant-Pleasant"
7,"LONELY ",33.15719947,"Unpleasant-Pleasant"
7,"PROUD ",77.90620872,"Unpleasant-Pleasant"
7,"EMBARRASSED ",36.12945839,"Unpleasant-Pleasant"
7,"HATE ",5.250990753,"Unpleasant-Pleasant"
7,"EXCITED ",87.15323646,"Unpleasant-Pleasant"
7,"LOVE ",97.55614267,"Unpleasant-Pleasant"
7,"BORED ",43.89035667,"Unpleasant-Pleasant"
7,"CALM ",69.81505945,"Unpleasant-Pleasant"
7,"NERVOUS ",50.33025099,"Unpleasant-Pleasant"
7,"SORRY ",31.83619551,"Unpleasant-Pleasant"
7,"SAD ",22.58916777,"Unpleasant-Pleasant"
